[Result Details],,,,,,,,,,,,,,,,,,,,,,,,,,
Result Name,[80.78] FSAE Aero Pwr90%, FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,10/11/2016 10:10,,,,,,,,,,,,,,,,,,,,,,,,,
Track,FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Track Configuration,Closed Circuit,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,FSAE Aero,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
37.72287923,0.998096783,11.5,-12.75029486,7.382282179,1,13,5912.816293,44.01491915,36.5475985,88.8100094,59.20667293,18.21341287,97.72359214,0,-8.611611652,1,41.33277274,1.4,1.5,-60.67592408,-11.20754534,0.311870677,10.07935531,4.998611304,0,2737.510009
38.34248077,1.021954983,11.75,-12.86794934,7.213936477,1,13,6009.93481,43.91002591,37.05936771,91.75139299,61.16759533,19.67743425,97.64257957,0,-8.815482202,1,41.83910555,1.4,1.5,-62.27539401,-11.1373783,0.307981134,10.32990469,4.942623996,0,2740.451393
38.93934492,1.045427642,12,-12.97170035,7.063349461,1,13,6103.489389,43.80898191,37.54965103,94.63015073,63.08676715,20.97357497,97.56300611,0,-9.019352753,1,42.34033327,1.4,1.5,-63.83921165,-11.0658193,0.319249758,10.57864703,4.879702177,0,2743.330151
39.51588582,1.068540512,12.25,-13.06338477,6.929050839,1,13,6193.858429,43.71137847,38.02071921,97.45310778,64.96873852,22.11455131,97.48470307,0,-9.223223303,1,42.8366378,1.4,1.5,-65.36897988,-10.99227464,0.333216025,10.82543223,4.8100571,0,2746.153108
40.07422046,1.091316162,12.5,-13.14459876,6.809595026,1,13,6281.373757,43.61685719,38.4745506,100.2264656,66.81764374,23.11319372,97.40751581,0,-9.427093854,1,43.32819098,1.4,1.5,-66.86619501,-10.9170212,0.346006464,11.07012263,4.733894521,0,2748.926466
40.61620552,1.113774491,12.75,-13.21672691,6.703589103,1,13,6366.326395,43.52510375,38.91287029,102.9558303,68.63722021,23.98210994,97.33130341,0,-9.630964404,1,43.81515538,1.4,1.5,-68.33225602,-10.90151263,0.072314084,11.31259203,4.651414746,0,2751.65583
41.14346967,1.135933134,13,-13.28096858,6.609712695,1,13,6448.971625,43.43584244,39.33718389,105.6462476,70.43083176,24.73343598,97.25593815,0,-9.834834955,1,44.29768496,1.4,1.5,-69.76847286,-10.71872101,0.863856782,11.55272482,4.562812685,0,2754.346248
41.65744208,1.157807808,13.25,-13.33836147,6.526730945,1,13,6529.533462,43.3488313,39.74880676,108.3022422,72.20149478,25.37866236,97.18130475,0,-10.03870551,1,44.77592572,1.4,1.5,-71.20008129,-10.53876825,0.861480623,11.79041515,4.46827793,0,2757.002242
42.1593775,1.179412591,13.5,-12.91919032,6.453501844,1,13,6608.20858,43.26385793,40.14888947,110.9278586,73.95190571,25.9285233,97.10729961,0,-10.61568643,1,46.10734815,1.4,1.5,-72.55497566,-10.27691995,1.269195333,12.02551982,4.367898194,0,2759.627859
42.70686472,1.200760155,13.75,-12.5301864,7.123987675,1,13,6694.023645,43.17117302,40.58313961,113.8276129,75.88507525,18.63028172,97.02530908,0,-11.23137287,1,47.4946065,1.4,1.5,-73.83453948,-9.71037707,2.779157036,12.25804165,4.262052811,0,2762.527613
43.28976358,1.22183405,14,-12.20548002,7.683266347,1,13,6785.389255,43.07249323,41.04302186,116.9560461,77.97069737,12.45700003,96.93655043,0,-11.8470593,1,48.8502469,1.4,1.5,-75.07872637,-9.253386712,2.27086248,12.48800481,4.151107566,0,2765.656046
43.89709506,1.242624185,14.25,-11.25154272,8.114578997,1,13,6880.584519,42.9696772,41.51948672,120.2607234,80.17381563,7.595341112,96.84245324,0,-13.21461417,1,51.76101012,1.4,1.5,-76.18446413,-8.612840717,3.226425511,12.71536639,4.035265682,0,2768.960723
44.54657985,1.26312668,14.5,-10.61159397,8.799535748,1,13,6982.387042,42.85972498,42.02597999,123.845714,82.56380934,0,96.73998446,0,-14.42922834,1,54.24512327,1.4,1.5,-77.19440585,-7.964467732,3.31166807,12.9403264,3.915123939,0,2772.545714
45.18417222,1.283330251,14.75,-10.06987835,8.766221969,1,13,7082.325504,42.75178605,42.52014108,127.4162767,84.94418448,0,96.63752769,0,-15.6438425,1,56.64765152,1.4,1.5,-78.13033865,-7.467341438,2.576719885,13.16301976,3.791099288,0,2776.116277
45.81041299,1.303248731,15,-9.45448912,8.733386037,1,13,7180.484677,42.64576884,43.0025549,130.9726647,87.31510982,0,96.53508341,0,-17.12715965,1,59.48606702,1.4,1.5,-78.97535866,-6.980424654,2.559924661,13.38354951,3.663516118,0,2779.672665
46.42580284,1.322894919,15.25,-9.110625626,8.701007258,1,13,7276.94304,42.5415886,43.47376262,134.5151174,89.67674495,0,96.43265213,0,-18.25431931,1,61.58149302,1.4,1.5,-79.76710443,-6.685563299,1.571694638,13.60207716,3.532752261,0,2783.215117
47.03080639,1.34228069,15.5,-8.805883485,8.669066466,1,13,7371.773416,42.43916667,43.93426612,138.0438617,92.02924115,0,96.33023443,0,-19.38147896,1,63.63005074,1.4,1.5,-80.51189943,-6.229149207,2.465497557,13.81868608,3.399037383,0,2786.743862
47.62585569,1.361417084,15.75,-8.53382533,8.637545861,1,13,7465.043529,42.33842991,44.38453188,141.5591131,94.37274207,0,96.22783089,0,-20.50863861,1,65.63648765,1.4,1.5,-81.24209383,-5.823183001,2.221561891,14.03345264,3.26257276,0,2790.259113
48.21135341,1.380314382,16,-7.596363116,8.606428879,1,13,7556.816492,42.23931015,44.82499436,145.0610766,96.70738438,0,96.12544216,0,-23.60956192,1,70.97078275,1.4,1.5,-81.87688494,-5.446584132,2.086930143,14.24636756,3.123444394,0,2793.761077
48.7876755,1.398982184,16.25,-6.747472296,8.575700073,1,13,7647.151237,42.14174375,45.25605902,148.5499475,99.03329835,0,96.02306887,0,-27.21912384,1,76.90399748,1.4,1.5,-82.42357208,-4.401361542,5.8633284,14.45764035,2.982024358,0,2797.249948
49.3551737,1.417429466,16.5,-6.096847847,8.545345008,1,13,7736.102894,42.04567116,45.6781049,152.0259125,101.3506084,0,95.92071171,0,-30.82868575,1,82.61135253,1.4,1.5,-82.96791048,-3.797194994,3.429674543,14.66747605,2.838648327,0,2800.725913
